acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,Nhạc Acoustic,Nhạc Pop,Nhạc Remix,Nhạc cách mạng,Nhạc quê hương,Nhạc rap,Nhạc thiếu nhi,Nhạc trẻ,Nhạc trữ tình,id
0.7246835443037974,0.3029490616621983,0.1042600896860986,0.7426160337552743,0.0882475951484734,0.2642675967025998,0.0760456273764258,0.2048065487066702,0.2484713729849916,0,0,0,0,0,1,0,1,0,123
0.180379746835443,0.710455764075067,0.445067264573991,3.4317862165963437e-06,0.178168130489335,0.826569435637286,0.028041825095057,0.1651594984817578,0.5453029460811563,0,0,0,0,0,0,1,0,0,199
0.7573839662447257,0.8257372654155497,0.7746636771300448,0.0,0.3005018820577164,0.7212666455294864,0.1093155893536121,0.4187757054676652,0.8176764869371875,0,0,0,1,1,0,0,0,1,133
0.7563291139240507,0.0,0.1255605381165919,1.0,0.0798828941865328,0.6074825618262524,0.0403992395437262,0.2582074775918088,0.0972762645914397,0,0,0,0,0,1,0,1,0,124
0.5833333333333333,0.6608579088471851,0.6076233183856502,0.0959212376933895,0.2701798410706816,0.7094166138237159,0.0527566539923954,0.4847345235643143,0.4974986103390773,0,1,0,0,0,0,0,1,0,74
0.6708860759493671,0.8471849865951742,0.3957399103139013,1.8846694796061883e-06,0.227310748640736,0.7606214331008243,0.4106463878326996,0.458303156747706,0.5486381322957199,1,0,0,0,0,0,0,1,0,87
0.8881856540084389,0.3404825737265415,0.4506726457399103,0.0,0.0691133416980342,0.8876030437539633,0.0451520912547528,0.5218965734902296,0.2362423568649249,0,0,0,0,0,0,0,0,1,163
0.8491561181434598,0.0469168900804289,0.0672645739910313,2.3488045007032348e-05,0.2659974905897113,0.3877219403931515,0.1116920152091254,0.1395786130509027,0.0705947748749305,0,0,0,0,1,0,0,0,1,62
0.5348101265822784,0.5227882037533511,0.0493273542600896,0.0277074542897327,0.055207026348808,0.0,0.0270912547528517,0.1777373208507472,0.3918843802112284,0,0,0,0,0,0,0,0,1,80
0.0864978902953586,0.289544235924933,0.538116591928251,0.0,0.1865328314512755,0.843492390615092,0.0318441064638783,0.8144621701892986,0.5230683713173987,0,0,0,0,0,0,0,0,1,188
0.6835443037974683,0.6112600536193029,0.5403587443946187,0.000745428973277,0.3904224173985779,0.8300174381737476,0.0342205323193916,0.3787299920931809,0.763201778765981,0,0,0,0,1,0,0,0,1,151
0.2837552742616033,0.900804289544236,0.7017937219730941,0.0,0.3255959849435382,0.7896718452758402,0.1953422053231938,0.3376676876872886,0.998888271261812,0,0,0,0,0,0,1,0,0,176
0.8248945147679325,0.4932975871313673,0.4047085201793722,0.0,0.1802593057298201,0.7603836398224477,0.0769961977186311,0.1642359288519166,0.339633129516398,0,0,0,0,0,0,1,0,0,177
0.5464135021097046,0.8297587131367294,0.726457399103139,1.0773558368495077e-05,0.0416143872856545,0.7636334812935954,0.0413498098859315,0.4182707321448742,0.9933296275708728,0,1,0,0,0,0,0,1,0,38
0.4852320675105485,0.6273458445040214,0.7544843049327354,0.0,0.0707862818904224,0.7880072923272036,0.0522813688212927,0.1463625309794489,0.829905503057254,0,0,0,1,1,0,0,0,0,136
0.3681434599156118,0.7949061662198393,0.7141255605381165,0.0,0.0364910079464659,0.7607799619530755,0.0765209125475285,0.4856780263516341,0.8276820455808782,0,0,0,1,1,0,0,0,0,137
0.7637130801687764,0.4249329758713137,0.577354260089686,0.0016877637130801,0.0572982015892931,0.7196020925808497,0.1644486692015209,0.1658438702218559,0.6220122290161201,0,0,0,0,0,1,0,1,0,125
0.3027426160337552,0.3284182305630026,0.5257847533632286,2.9254571026722924e-06,0.0955667084901714,0.7943088142041852,0.0289923954372623,0.7918646139944056,0.3162868260144524,0,0,0,0,0,0,0,0,1,189
0.1972573839662447,0.7975871313672924,0.6984304932735426,0.0060900140646976,0.0752823086574654,0.7957752060875078,0.0665399239543726,0.5514375128734976,0.6820455808782657,0,0,0,0,0,0,1,0,0,200
0.2679324894514768,0.7815013404825739,0.7163677130044842,0.0001758087201125,0.370556252613969,0.7909797083069119,0.0423003802281368,0.5240094881829598,0.9744302390216788,0,0,0,0,0,0,1,0,0,201
0.2985232067510548,0.9021447721179624,0.9147982062780268,0.0028551336146272,0.219991635299038,0.7568563728598605,0.3236692015209125,0.2859079221012206,0.7242912729294053,0,0,0,0,0,0,1,0,0,202
0.1234177215189873,0.8431635388739949,0.6659192825112107,8.19971870604782e-05,0.0099330823923044,0.7266566265060241,0.0674904942965779,0.4449147193079208,0.9566425792106727,0,0,0,0,0,0,1,0,0,203
0.2679324894514768,0.5750670241286864,0.9237668161434976,0.0006033755274261,0.3151401087411125,0.8206246036778694,0.1554182509505703,0.606599204002578,0.9588660366870484,0,0,0,0,0,0,1,0,0,204
0.1582278481012658,0.804289544235925,0.6804932735426008,0.0060759493670886,0.0709953994144709,0.7962507926442612,0.0346958174904942,0.3649628246613025,0.8399110617009449,0,0,0,0,0,0,1,0,0,205
0.9894514767932489,0.0938337801608579,0.2567264573991031,0.2292545710267229,0.1258887494772061,0.5456959416613824,0.0760456273764258,0.3858195517697321,0.1083935519733185,0,0,0,0,1,0,0,0,1,63
0.9261603375527426,0.6152815013404827,0.3800448430493273,7.538677918424755e-05,0.3391886240066917,0.8155516804058339,0.0289923954372623,0.1394590141060311,0.2495831017231795,0,0,0,0,0,0,0,0,1,164
